dt_captura,no_emissor,link,no_tipo_rating,de_rating_br,dt_acao_rating,de_acao_rating,de_outlook,de_classe,de_escala
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,A,2023-01-18,Confirmação,Estável,Senior,Longo prazo
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,B,2023-01-18,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25448,FIDC,B,2023-01-18,Confirmação,Estável,Senior,Longo prazo
2026-09-25,CANAL 86 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADO,https://www.liberumratings.com.br/detalhes-ativo/25459,FIDC,C,2023-01-19,Confirmação,Estável,Única,Longo prazo
2026-09-25,CANAL 87 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADO,https://www.liberumratings.com.br/detalhes-ativo/25462,FIDC,C,2023-01-19,Confirmação,Estável,Única,Longo prazo
2026-09-25,CANAL 86 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADO,https://www.liberumratings.com.br/detalhes-ativo/25459,FIDC,C,2023-01-19,Confirmação,Estável,Única,Longo prazo
2026-09-25,DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25448,FIDC,B,2023-01-18,Confirmação,Estável,Senior,Longo prazo
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,BBB-,2023-01-18,Confirmação,Estável,Mezanino,Longo prazo
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,CP3,2023-01-18,Confirmação,Estável,Mezanino,Curto prazo
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,CP2,2023-01-18,Confirmação,Estável,Senior,Curto prazo
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,A,2023-01-18,Confirmação,Estável,Senior,Longo prazo
2026-09-25,Acreditar Fundo de Investimento em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25386,FIDC,B,2023-01-18,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME,https://www.liberumratings.com.br/detalhes-ativo/25454,FIDC,BB,2023-01-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME,https://www.liberumratings.com.br/detalhes-ativo/25454,FIDC,CP4,2023-01-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME,https://www.liberumratings.com.br/detalhes-ativo/25454,FIDC,CP3,2023-01-19,Confirmação,Estável,Senior,Curto prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME,https://www.liberumratings.com.br/detalhes-ativo/25454,FIDC,BBB+,2023-01-19,Confirmação,Estável,Senior,Longo prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME,https://www.liberumratings.com.br/detalhes-ativo/25454,FIDC,B,2023-01-19,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLAR KOMPASS ENERGIA,https://www.liberumratings.com.br/detalhes-ativo/25449,FIDC,CP4,2023-01-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLAR KOMPASS ENERGIA,https://www.liberumratings.com.br/detalhes-ativo/25449,FIDC,BB+,2023-01-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLAR KOMPASS ENERGIA,https://www.liberumratings.com.br/detalhes-ativo/25449,FIDC,BB+,2023-01-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLAR KOMPASS ENERGIA,https://www.liberumratings.com.br/detalhes-ativo/25449,FIDC,CP4,2023-01-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-25,PEREGRINA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25450,FIDC,C,2023-01-18,Rebaixamento,Estável,Subordinada,Longo prazo
2026-09-25,IRLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25453,FIDC,CCC,2023-01-19,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,SATURNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25440,FIDC,B,2023-01-18,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,ESPRESSO CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25445,FIDC,CP5,2023-01-18,Confirmação,Estável,Única,Curto prazo
2026-09-25,ESPRESSO CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25445,FIDC,C,2023-01-18,Confirmação,Estável,Única,Longo prazo
2026-09-25,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25446,FIDC,CCC,2023-01-17,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25446,FIDC,BBB,2023-01-17,Confirmação,Negativa,Senior,Longo prazo
2026-09-25,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25446,FIDC,CP3,2023-01-17,Confirmação,Negativa,Senior,Curto prazo
2026-09-25,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25446,FIDC,BB,2023-01-17,Confirmação,Negativa,Mezanino,Longo prazo
2026-09-25,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25446,FIDC,CP4,2023-01-17,Confirmação,Negativa,Mezanino,Curto prazo
2026-09-25,CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25447,FIDC,A,2023-01-18,Encerramento,Estável,Senior,Longo prazo
2026-09-25,CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25447,FIDC,CP2,2023-01-18,Encerramento,Estável,Senior,Curto prazo
2026-09-25,CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25447,FIDC,CP2,2023-01-18,Confirmação,Estável,Senior,Curto prazo
2026-09-25,CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25447,FIDC,A,2023-01-18,Confirmação,Estável,Senior,Longo prazo
2026-09-25,BH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25443,FIDC,CCC,2023-01-17,Confirmação,Estável,Senior,Longo prazo
2026-09-25,BH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25443,FIDC,C,2023-01-17,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/25444,FIDC,BB+,2023-01-17,Confirmação,Estável,Mezanino,Longo prazo
2026-09-25,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/25444,FIDC,CP4,2023-01-17,Confirmação,Estável,Mezanino,Curto prazo
2026-09-25,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/25444,FIDC,A-,2023-01-17,Confirmação,Estável,Senior,Longo prazo
2026-09-25,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/25444,FIDC,CP2,2023-01-17,Confirmação,Estável,Senior,Curto prazo
2026-09-25,MR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/25444,FIDC,B,2023-01-17,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,SAINT JOHN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25433,FIDC,CCC,2023-01-16,Confirmação,Estável,Única,Longo prazo
2026-09-25,TRANSFORMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25442,FIDC,B,2023-01-17,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,CP4,2023-01-17,Confirmação,Estável,Mezanino,Curto prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,BB,2023-01-17,Confirmação,Estável,Mezanino,Longo prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,BBB-,2023-01-17,Encerramento,Estável,Senior,Longo prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,CP3,2023-01-17,Encerramento,Estável,Senior,Curto prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,BBB-,2023-01-17,Confirmação,Estável,Senior,Longo prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,CP3,2023-01-17,Confirmação,Estável,Senior,Curto prazo
2026-09-25,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25427,FIDC,B,2023-01-17,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25346,FIDC,CCC,2023-01-17,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25395,FIDC,CC,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,C3E CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25436,FIDC,CCC,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,C3E CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25436,FIDC,CP5,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,C3E CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25436,FIDC,C,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,C3E CJ FIC – FIDC,https://www.liberumratings.com.br/detalhes-ativo/25438,FIDC,CCC,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,C3E CJ FIC – FIDC,https://www.liberumratings.com.br/detalhes-ativo/25438,FIDC,C,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25431,FIDC,CCC,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25431,FIDC,CP5,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25431,FIDC,CCC,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,JC 4870 Fundo de Investimento em Direitos Creditório - Não Padronizado,https://www.liberumratings.com.br/detalhes-ativo/25430,FIDC,CCC,2023-01-16,Confirmação,Estável,Única,Longo prazo
2026-09-25,M Sul Fundo de Investimentos em Direitos Creditórios,https://www.liberumratings.com.br/detalhes-ativo/25410,FIDC,B,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25405,FIDC,B,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25405,FIDC,A,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25405,FIDC,CP2,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25405,FIDC,A,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,https://www.liberumratings.com.br/detalhes-ativo/25405,FIDC,CP2,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,Tulipa Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25415,FIDC,CCC,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,Tulipa Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25415,FIDC,CP5,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,Tulipa Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25415,FIDC,CP5,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,Tulipa Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25415,FIDC,CCC,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,SG JC III FIC FIDC NP,https://www.liberumratings.com.br/detalhes-ativo/25414,FIDC,CP5,2023-01-16,Confirmação,Estável,Senior,Curto prazo
2026-09-25,SG JC III FIC FIDC NP,https://www.liberumratings.com.br/detalhes-ativo/25414,FIDC,CCC,2023-01-16,Confirmação,Estável,Senior,Longo prazo
2026-09-25,SG JC III FIC FIDC NP,https://www.liberumratings.com.br/detalhes-ativo/25414,FIDC,CCC,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,SG II A Fundo De Investimento Em Cotas De Fundos De Investimento Em Direitos Creditorios Nao-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25428,FIDC,CP5,2023-01-13,Confirmação,Estável,Senior,Curto prazo
2026-09-25,SG II A Fundo De Investimento Em Cotas De Fundos De Investimento Em Direitos Creditorios Nao-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25428,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,SG II A Fundo De Investimento Em Cotas De Fundos De Investimento Em Direitos Creditorios Nao-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25428,FIDC,CCC,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,UA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25426,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,UA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25426,FIDC,C,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,NEB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25425,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,NEB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25425,FIDC,C,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,NEB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25425,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,AGHI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25424,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,AGHI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25424,FIDC,C,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,SG IV Local Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Creditório - Não Padronizado,https://www.liberumratings.com.br/detalhes-ativo/25423,FIDC,CP5,2023-01-13,Confirmação,Estável,Senior,Curto prazo
2026-09-25,SG IV Local Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Creditório - Não Padronizado,https://www.liberumratings.com.br/detalhes-ativo/25423,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,SG IV Local Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Creditório - Não Padronizado,https://www.liberumratings.com.br/detalhes-ativo/25423,FIDC,CCC,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,JC Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25422,FIDC,CCC,2023-01-13,Confirmação,Estável,Única,Longo prazo
2026-09-25,JC Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,https://www.liberumratings.com.br/detalhes-ativo/25422,FIDC,CP5,2023-01-13,Confirmação,Estável,Única,Curto prazo
2026-09-25,PORTLAND CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/25421,FIDC,C,2023-01-13,Confirmação,Estável,Única,Longo prazo
2026-09-25,JC BG FICFIDC NP,https://www.liberumratings.com.br/detalhes-ativo/25420,FIDC,CP5,2023-01-13,Confirmação,Estável,Senior,Curto prazo
2026-09-25,JC BG FICFIDC NP,https://www.liberumratings.com.br/detalhes-ativo/25420,FIDC,CCC,2023-01-13,Confirmação,Estável,Senior,Longo prazo
2026-09-25,JC BG FICFIDC NP,https://www.liberumratings.com.br/detalhes-ativo/25420,FIDC,CCC,2023-01-13,Confirmação,Estável,Subordinada,Longo prazo
2026-09-25,MALMO FICFIDC-NP,https://www.liberumratings.com.br/detalhes-ativo/25437,FIDC,CCC,2023-01-16,Confirmação,Estável,Subordinada,Longo prazo
